trialType,trial,purpleBet,response,betScaling,score,RT,nHits,pinkBet,exploded,confidence,ballColour,subjectID
trial,45,,1,,250,299.5,15,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,46,,1,,200,366.3999999999942,15,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,47,,2,,300,282.79999999998836,16,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,48,,1,,250,1549.6000000000058,16,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,49,,2,,350,399.70000000001164,17,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,50,,1,,300,1433.2999999999884,17,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,51,,2,,400,416.5999999999767,18,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,52,,1,,350,1332.7000000000116,18,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,53,,2,,450,399.8999999999942,19,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,54,,1,,550,1316.3999999999942,20,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,55,,2,,650,850.1000000000058,21,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,56,,1,,600,1066.6000000000058,21,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,57,,2,,700,366.5,22,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,58,,1,,650,783.2999999999884,22,,True,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
trial,59,,2,,650,366.5,22,,False,0.5,grey,6x9QSvZg7YOzOKFA2JhayPvBCR23
